node_type_id ei model_processing model_type model_template morphology model_name
104 i aibs_perisomatic biophysical nml:Cell_473862421.cell.nml Pvalb_469628681_m PV2
100 e aibs_perisomatic biophysical nml:Cell_472363762.cell.nml Scnn1a_473845048_m Scnn1a
101 e aibs_perisomatic biophysical nml:Cell_473863510.cell.nml Rorb_325404214_m Rorb
102 e aibs_perisomatic biophysical nml:Cell_473863035.cell.nml Nr5a1_471087815_m Nr5a1
103 i aibs_perisomatic biophysical nml:Cell_472912177.cell.nml Pvalb_470522102_m PV1
